"","varname","term","AICcdiff2","modname[which(AICcdiff2 == AICcdiff)]"
"1","Ca","iceout_doy",1.29999999999995,"Ca_ice_out_doy"
"2","Ca","SWE",1.79999999999995,"Ca_SWE_May_snotel"
"3","Chl","SWE",40.7,"Chl_SWE_May_snotel"
"4","Chl","iceout_doy",40.9,"Chl_ice_out_doy"
"5","Cl","SWE",9.52,"Cl_SWE_May_snotel"
"6","Cl","iceout_doy",11.92,"Cl_ice_out_doy"
"7","Clad","iceout_doy",1048,"Clad_ice_out_doy"
"8","Clad","SWE",1049,"Clad_SWE_May_snotel"
"9","Cond","iceout_doy",0,"Cond_ice_out_doy"
"10","Cond","SWE",1,"Cond_SWE_May_snotel"
"11","Cope","iceout_doy",984,"Cope_ice_out_doy"
"12","Cope","SWE",984,"Cope_SWE_May_snotel"
"13","DO","iceout_doy",155.2,"DO_ice_out_doy"
"14","DO","SWE",163.9,"DO_SWE_May_snotel"
"15","K","SWE",2.30000000000007,"K_SWE_May_snotel"
"16","K","iceout_doy",11.1,"K_ice_out_doy"
"17","log10Chl","iceout_doy",28.54,"log10Chl_ice_out_doy"
"18","log10Chl","SWE",39.94,"log10Chl_SWE_May_snotel"
"19","log10Clad","iceout_doy",139.8,"log10Clad_ice_out_doy"
"20","log10Clad","SWE",165.7,"log10Clad_SWE_May_snotel"
"21","log10Cope","SWE",114.2,"log10Cope_SWE_May_snotel"
"22","log10Cope","iceout_doy",116.9,"log10Cope_ice_out_doy"
"23","log10Rot","iceout_doy",158.6,"log10Rot_ice_out_doy"
"24","log10Rot","SWE",166.4,"log10Rot_SWE_May_snotel"
"25","Mg","iceout_doy",0,"Mg_ice_out_doy"
"26","Mg","SWE",2.30000000000001,"Mg_SWE_May_snotel"
"27","Na","iceout_doy",1.56,"Na_ice_out_doy"
"28","Na","SWE",2.72,"Na_SWE_May_snotel"
"29","pH","SWE",0,"pH_SWE_May_snotel"
"30","pH","iceout_doy",6.19999999999999,"pH_ice_out_doy"
"31","Rot","iceout_doy",1277,"Rot_ice_out_doy"
"32","Rot","SWE",1279,"Rot_SWE_May_snotel"
"33","Secchi","SWE",64.8,"Secchi_SWE_May_snotel"
"34","Secchi","iceout_doy",66.6,"Secchi_ice_out_doy"
"35","SO4","SWE",0.300000000000068,"SO4_SWE_May_snotel"
"36","SO4","iceout_doy",0.800000000000068,"SO4_ice_out_doy"
"37","SWE","iceout_doy",0,"SWE_ice_out_doy"
"38","TDN","iceout_doy",15.1999999999999,"TDN_ice_out_doy"
"39","TDN","SWE",24,"TDN_SWE_May_snotel"
"40","TDP","SWE",0,"TDP_SWE_May_snotel"
"41","TDP","iceout_doy",2,"TDP_ice_out_doy"
"42","Watertemp","iceout_doy",3.10000000000002,"Watertemp_ice_out_doy"
"43","Watertemp","SWE",59.4,"Watertemp_SWE_May_snotel"
